Group,Species,N_Years,First_Year,Last_Year,N_Records,Mean_growth_rate,Lower_CI,Upper_CI,Precision
PlantBugs,Tetraphleps bicuspis,36,1979,2014,61,-3.9475,-7.047840239,-1.244122603,0.430285711
Lichens,Lecidea hypopta,41,1975,2015,55,0.5007,-2.870166684,3.436857356,0.43083248
Lichens,Lecanactis subabietina,45,1971,2015,112,1.9897,-1.13714399,5.05918011,0.430853767
FungusGnats,Pyratula zonata,35,1976,2010,52,1.0199,-0.391872613,4.156063243,0.431104136
Caddisflies,Oxyethira flavicornis,44,1970,2013,90,0.3497,-2.405686741,3.524945163,0.43119738
Lichens,Caloplaca cirrochroa,44,1972,2015,58,0.6699,-2.357815968,3.829951031,0.431197686
Spiders,Hilaira pervicax,44,1970,2013,154,1.0948,-1.752703839,4.278679445,0.431210479
Gelechiids,Scrobipalpa ocellatella,40,1974,2013,119,-3.386,-6.4218684,-0.457221161,0.431404627
Hoverflies,Cheilosia soror,39,1975,2013,588,4.5221,1.766849992,7.748080109,0.431511314
Spiders,Latithorax faustus,44,1970,2013,138,1.5766,-1.274813156,4.663162532,0.431599444
Empid&DolichopodidFlies,Rhaphium caliginosum,37,1977,2013,296,0.9767,-1.786508619,4.343293506,0.432369702
SoldierBeetles,Cantharis figurata,45,1971,2015,90,-0.2888,-3.432680307,2.692376646,0.432807298
Wasps,Stigmus solskyi,44,1970,2013,367,-0.834,-3.439364395,2.598680428,0.433019467
Leaf&SeedBeetles,Aphthona lutescens,37,1978,2014,115,-0.2953,-3.455848023,2.782652189,0.433042551
Leaf&SeedBeetles,Psylliodes chrysocephala,38,1978,2015,591,1.0969,-1.805671418,3.995010208,0.433101201
Leaf&SeedBeetles,Galerucella nymphaeae,41,1975,2015,93,0.5031,-2.386834141,3.562683625,0.433714009
Spiders,Diplocentria bidentata,44,1970,2013,78,-0.4542,-3.450985031,2.552910252,0.433790117
Bryophytes,Molendoa warburgii,46,1970,2015,93,-0.5098,-3.291677427,2.494341287,0.433923826
Empid&DolichopodidFlies,Chelifera trapezina,43,1972,2014,95,2.1279,-0.531986416,5.261339467,0.434273517
PlantBugs,Lygus maritimus,38,1978,2015,183,-1.0034,-3.949379293,2.06880755,0.434571684
Wasps,Crossocerus distinguendus,42,1974,2015,313,2.1494,-0.07709565,5.598977032,0.434997413
Millipedes,Cylindroiulus latestriatus,34,1975,2008,176,1.2112,-1.508236652,4.505326617,0.435219577
Empid&DolichopodidFlies,Dolichopus atripes,33,1981,2013,129,1.9908,-1.13288494,5.050816343,0.436053556
Empid&DolichopodidFlies,Platypalpus cothurnatus,39,1975,2013,127,-1.8413,-4.873954151,1.003807295,0.43660215
RoveBeetles,Amischa analis,29,1982,2010,190,-1.2825,-4.402923362,1.823238597,0.436685755
Bees,Halictus confusus,43,1972,2014,76,-1.494,-4.60959531,1.32487938,0.43725257
Spiders,Argenna subnigra,44,1970,2013,160,0.778,-2.146446191,3.737388917,0.43727304
Carabids,Nebria rufescens,35,1978,2012,104,-2.2688,-5.257816263,0.532636756,0.437371986
ShieldBugs,Chorosoma schillingi,39,1974,2012,104,-3.8595,-6.672089133,-0.856098992,0.437412469
Lichens,Normandina acroglypta,41,1975,2015,94,1.2059,-0.651661361,5.183804146,0.437438795
Leaf&SeedBeetles,Batophila rubi,45,1971,2015,115,-3.6205,-7.01507981,-0.944427111,0.437789411
AquaticBugs,Sigara venusta,36,1976,2011,118,-1.8537,-4.813443627,1.147166202,0.437914832
Spiders,Maso gallicus,42,1971,2012,73,1.04,-1.675044361,4.388875236,0.437975838
Moths,Lycia lapponaria,43,1973,2015,103,0.4621,-2.354409102,3.55974889,0.438016364
Orthoptera,Gomphocerippus rufus,34,1982,2015,154,-0.3466,-3.383713226,2.820495884,0.438201294
Carabids,Bembidion obtusum,44,1971,2014,337,2.5411,-0.098041023,5.999805864,0.43881593
Ants,Myrmecina graminicola,46,1970,2015,227,-1.8004,-4.683387878,1.4229437,0.438919094
NonmarineMolluscs,Limacus maculatus,38,1978,2015,407,8.1104,5.223701617,11.30903251,0.439156474
Leaf&SeedBeetles,Donacia impressa,44,1971,2014,98,0.0774,-3.102687558,3.200827973,0.439458928
FungusGnats,Mycetophila cingulum,39,1973,2011,81,0.7428,-1.422412183,4.358750452,0.439624436
Bryophytes,Entosthodon obtusus,46,1970,2015,211,-2.0767,-5.104499731,0.85385104,0.440593764
Leaf&SeedBeetles,Donacia versicolorea,42,1974,2015,134,0.2244,-2.887595592,3.137435931,0.440649094
Bees,Andrena varians,43,1973,2015,117,-2.0289,-5.364049097,0.797337107,0.44128236
Caddisflies,Limnephilus coenosus,39,1974,2012,88,-0.8664,-3.700966812,2.247060267,0.441947444
Wasps,Dolichovespula norwegica,44,1972,2015,257,-1.5538,-4.479648334,1.426498019,0.442259167
Leaf&SeedBeetles,Chrysolina oricalcia,43,1973,2015,94,2.0531,-0.599971556,5.547174555,0.442595124
Weevils,Tanysphyrus lemnae,45,1971,2015,478,-0.2839,-3.407240276,2.746255983,0.442620533
Weevils,Neocoenorrhinus aeneovirens,46,1970,2015,101,-3.9074,-6.797609522,-1.123015871,0.442658976
Bryophytes,Rhynchostegiella teneriffae,45,1970,2014,181,-1.3808,-4.255115222,1.560177555,0.443046069
Hoverflies,Cheilosia carbonaria,42,1972,2013,113,-0.9346,-3.68535465,2.052049506,0.443046736
Bryophytes,Douinia ovata,44,1970,2013,87,-0.2463,-3.442823608,3.435057738,0.443119933
Moths,Spargania luctuata,46,1970,2015,381,-3.4528,-6.497499454,-0.343805041,0.443191695
Lichens,Calicium salicinum,45,1970,2014,126,0.0058,-2.747813363,3.158820493,0.44338114
Ants,Lasius mixtus,44,1972,2015,83,-2.523,-5.596609888,0.408001133,0.443420157
Spiders,Larinioides patagiatus,44,1970,2013,72,-0.179,-2.970287589,2.935878214,0.443511896
Lichens,Buellia erubescens,45,1970,2014,51,-1.0228,-5.063520424,0.450138328,0.443912005
PlantBugs,Temnostethus pusillus,36,1980,2015,128,0.2224,-2.602028478,3.321162617,0.443941056
Weevils,Xylocleptes bispinus,42,1974,2015,99,0.8627,-1.856103495,3.903848947,0.444014797
Soldierflies,Thyridanthrax fenestratus,46,1970,2015,185,1.1908,-1.496510079,4.448270459,0.444188545
Craneflies,Dicranomyia lucida,43,1973,2015,86,0.7589,-2.109736328,3.764927767,0.444433309
Bryophytes,Pseudoleskeella catenulata s.l.,42,1974,2015,57,0.0316,-2.972124075,3.39173705,0.446158393
Lacewings,Sialis lutaria,46,1970,2015,317,1.4488,-1.356074135,4.707011179,0.446569332
Spiders,Episinus truncatus,44,1970,2013,70,-0.515,-3.448531889,2.375675824,0.446597316
Wasps,Priocnemis susterai,42,1973,2014,143,-0.0075,-2.797090715,3.028418376,0.4466912
ShieldBugs,Coriomeris denticulatus,33,1983,2015,284,-1.5515,-4.85027147,0.94860587,0.446883702
Gelechiids,Caryocolum blandella,39,1975,2013,200,-0.2229,-3.208708447,2.706680695,0.447013502
Bryophytes,Pleuridium subulatum,43,1973,2015,180,0.4678,-2.345513021,3.720591264,0.447456356
Wasps,Priocnemis pusilla,46,1970,2015,316,0.1332,-2.820174341,3.120689459,0.447580374
Soldierflies,Beris clavipes,44,1972,2015,83,-3.2173,-6.163410237,-0.376962937,0.447638457
Carabids,Brachinus crepitans,44,1971,2014,86,1.159,-1.698825173,4.253760046,0.447676555
Bryophytes,Epipterygium tozeri,45,1971,2015,215,-0.3015,-3.075827466,2.594652732,0.447779158
PlantBugs,Closterotomus fulvomaculatus,41,1975,2015,168,-0.9962,-3.848674446,2.094580034,0.447842529
Wasps,Eumenes coarctatus,46,1970,2015,346,-1.3908,-4.394805576,1.476879446,0.44793252
Empid&DolichopodidFlies,Platypalpus verralli,43,1972,2014,142,-0.8733,-3.5556661,2.188472687,0.448281583
Bees,Andrena fulvago,39,1977,2015,178,1.4899,-1.4648214,4.385994501,0.448320353
Spiders,Philodromus histrio,44,1970,2013,87,1.4174,-1.514247023,4.60539414,0.448788252
Moths,Paracolax tristalis,46,1970,2015,179,-5.227,-8.292352985,-2.436244088,0.44884106
Lichens,Umbilicaria polyrrhiza,46,1970,2015,67,-1.2696,-4.740972497,0.689131661,0.449102431
Lichens,Racodium rupestre,42,1972,2013,65,-2.6341,-5.375935464,0.330617825,0.449195603
Bryophytes,Lepidozia cupressina,46,1970,2015,126,-2.1054,-4.930685163,0.910338789,0.449294144
Craneflies,Tipula pruinosa,44,1972,2015,103,0.0407,-2.882814566,2.910104569,0.450279834
Craneflies,Pedicia straminea,46,1970,2015,63,-2.7368,-5.74913259,0.208021206,0.450830244
Leaf&SeedBeetles,Plagiodera versicolora,45,1971,2015,357,-0.3813,-3.13322396,2.724555512,0.450983182
PlantBugs,Psallus salicis,46,1970,2015,69,-1.6972,-4.666917908,1.483558028,0.45177867
Centipedes,Lithobius borealis,30,1984,2013,89,-0.4475,-3.374646552,2.598838758,0.452195676
PlantBugs,Megalocoleus molliculus,38,1978,2015,274,-1.3466,-3.999452659,1.884243644,0.452653829
Spiders,Agyneta ramosa,44,1970,2013,121,-2.736,-5.516334693,0.07376241,0.452993627
Spiders,Erigone promiscua,44,1970,2013,232,-0.28,-2.944157566,2.861179702,0.453166753
Weevils,Rhopalomesites tardyi,39,1977,2015,85,0.763,-1.91443646,3.675821931,0.453524904
Lichens,Aspicilia radiosa,45,1971,2015,108,-0.8577,-3.608823052,2.093340922,0.453725088
Lichens,Squamarina cartilaginea,45,1970,2014,70,0.7161,-2.338448078,3.633212402,0.454253899
Lichens,Mycobilimbia epixanthoides,46,1970,2015,223,2.7285,-0.175563509,5.815431183,0.454606277
PlantBugs,Acalypta parvula,45,1971,2015,255,-0.7803,-3.993939015,2.126365579,0.455431767
Weevils,Tomicus piniperda,45,1971,2015,184,-2.7322,-5.502987756,0.459143889,0.455967911
Leaf&SeedBeetles,Longitarsus luridus,44,1971,2014,951,-1.3181,-4.236811553,1.423322558,0.456029198
ShieldBugs,Eysarcoris venustissimus,40,1976,2015,383,0.0229,-2.55884703,3.333345456,0.456758493
PlantBugs,Pseudoloxops coccineus,39,1977,2015,67,-1.5849,-4.42249356,1.251225711,0.457678817
Lichens,Graphina anguina auct. europ.,46,1970,2015,100,-2.4838,-5.345282923,0.5766664,0.457856263
SoldierBeetles,Podabrus alpinus,39,1970,2008,119,-2.1193,-5.146066048,0.727424369,0.458147226
Bryophytes,Calypogeia integristipula,45,1971,2015,93,1.4963,-1.422304954,4.562206817,0.458168147
Weevils,Oxystoma cerdo,43,1973,2015,157,2.9185,0.127217184,5.811265133,0.458911636
Caddisflies,Micropterna lateralis,44,1970,2013,291,1.7668,-1.06702555,4.87649822,0.459186427
Hoverflies,Triglyphus primus,42,1972,2013,124,-2.8778,-6.080262158,-0.195694188,0.46014897
Weevils,Phloeophagus lignarius,46,1970,2015,135,-2.6586,-5.508683291,0.083962919,0.460495103
Lichens,Micarea alabastrites,43,1973,2015,147,2.8335,0.256123623,6.221848947,0.460565749
Lichens,Physcia tribacia,46,1970,2015,166,-1.8313,-4.886168981,0.602276222,0.461414537
Bryophytes,Jubula hutchinsiae,46,1970,2015,143,1.3959,-1.425913248,4.28376008,0.461419472
Bryophytes,Hennediella macrophylla,45,1971,2015,108,0.1367,-2.590688129,3.333189032,0.462072915
PlantBugs,Orthotylus adenocarpi,40,1976,2015,79,0.4915,-1.840250446,5.042903005,0.462343039
Spiders,Pelecopsis nemoralis,44,1970,2013,114,1.4753,-0.768289788,4.68119294,0.462482974
Spiders,Milleriana inerrans,44,1970,2013,495,-2.6148,-5.277319707,0.430413508,0.462772633
Leaf&SeedBeetles,Phyllotreta exclamationis,36,1977,2012,103,1.4328,-1.244037576,4.721479322,0.462816257
Moths,Synanthedon formicaeformis,46,1970,2015,432,3.5195,0.984806146,6.621595743,0.463570649
Spiders,Sibianor aurocinctus,44,1970,2013,105,1.2636,-1.411264141,4.263264359,0.463681188
Moths,Spodoptera exigua,46,1970,2015,5836,5.1823,2.648004945,8.21774424,0.464077892
Caddisflies,Limnephilus luridus,44,1970,2013,301,1.5561,-1.194325733,4.564111021,0.464372132
PlantBugs,Agramma laetum,36,1980,2015,102,1.8937,-0.553173298,5.425635888,0.46438639
Moths,Synanthedon culiciformis,46,1970,2015,189,-2.9468,-5.737310972,0.06310791,0.464759498
Empid&DolichopodidFlies,Dolichopus longicornis,44,1970,2013,50,-0.2583,-3.299158775,2.686156665,0.464789429
Bryophytes,Tortula protobryoides,43,1973,2015,187,0.7135,-2.202045028,3.541413287,0.465228999
Lichens,Lepraria lobificans,37,1979,2015,1004,6.9858,4.272238716,9.901787601,0.465325162
Caddisflies,Glossosoma conformis,45,1970,2014,173,-0.5427,-3.366722278,2.40501265,0.465786767
Gelechiids,Ptocheuusa paupella,39,1973,2011,395,-1.781,-4.503324349,1.100065858,0.466536758
Bryophytes,Oxyrrhynchium speciosum,42,1974,2015,200,2.6028,-0.086736593,5.588242561,0.466660255
Lichens,Caloplaca microthallina,44,1972,2015,70,-0.3236,-3.302722161,2.461095768,0.467049297
Lichens,Bacidia inundata,43,1971,2013,80,-1.5597,-4.484943762,1.500009617,0.467148638
Centipedes,Lithobius calcaratus,35,1979,2013,102,0.939,-1.605070152,4.25932577,0.467546142
Bees,Andrena tibialis,44,1972,2015,240,0.6818,-2.033868586,3.689740009,0.467547443
Carabids,Calathus ambiguus,44,1971,2014,90,-1.0593,-4.225290188,1.514642262,0.467856108
NonmarineMolluscs,Balea sarsii,46,1970,2015,196,4.1795,1.282131424,7.104279838,0.467892767
Spiders,Robertus arundineti,43,1970,2012,308,-3.9473,-6.862266526,-1.109836283,0.468470424
Empid&DolichopodidFlies,Neurigona quadrifasciata,40,1974,2013,67,1.2216,-1.32928742,4.506555775,0.468683659
AquaticBugs,Arctocorisa germari,41,1970,2010,82,-4.0807,-6.804564804,-1.176921724,0.468699942
Bryophytes,Tomentypnum nitens,39,1975,2013,53,-0.3888,-3.317458081,2.377848993,0.468728929
Lichens,Lecania hutchinsiae,44,1972,2015,228,4.5533,1.875007896,7.719927387,0.46895838
PlantBugs,Polymerus unifasciatus,39,1977,2015,119,3.4224,0.582277402,6.45283045,0.469448782
Empid&DolichopodidFlies,Gloma fuscipennis,43,1971,2013,93,-2.1395,-4.939755106,0.781518964,0.469462194
Lichens,Sphaerophorus fragilis,45,1970,2014,92,-3.6394,-6.611878574,-0.918564994,0.469712907
Dragonflies,Anaciaeschna isoceles,44,1972,2015,1191,1.5117,-1.262412436,4.339695914,0.469789035
Carabids,Harpalus attenuatus,44,1971,2014,68,-0.983,-4.443507364,1.293460047,0.470024146
Lichens,Verrucaria fusconigrescens,44,1972,2015,112,-1.0373,-3.696864158,2.007176907,0.470095262
Ants,Formica aquilonia,34,1981,2014,94,-0.9826,-4.088792236,1.539803738,0.470349721
Bryophytes,Entosthodon attenuatus,44,1971,2014,86,-0.1678,-3.237382738,2.708715043,0.470391024
Moths,Cyclophora puppillaria,40,1976,2015,702,-1.8009,-4.543006468,1.315760965,0.470404002
Empid&DolichopodidFlies,Rhamphomyia anomalipennis,41,1974,2014,99,-1.286,-4.088725179,1.729165338,0.470499513
Empid&DolichopodidFlies,Rhamphomyia atra,44,1971,2014,148,0.5917,-2.018586988,3.641519054,0.47064768
Centipedes,Strigamia maritima,43,1972,2014,82,-0.8293,-3.870798737,1.809150642,0.470671409
Spiders,Oryphantes angulatus,44,1970,2013,150,-0.0187,-2.775968904,2.833812254,0.470954918
Empid&DolichopodidFlies,Teuchophorus nigricosta,40,1974,2013,57,0.3694,-2.179602926,3.775752395,0.471052787
NonmarineMolluscs,Anodonta cygnea,45,1970,2014,93,-3.8108,-6.566796219,-0.97891194,0.471087862
Empid&DolichopodidFlies,Argyra perplexa,36,1978,2013,109,0.6706,-1.875087212,3.819073099,0.471184645
Soldierflies,Bombylius discolor,42,1974,2015,182,2.6788,0.226105577,5.960182971,0.471278237
Bryophytes,Frullania teneriffae,46,1970,2015,224,-1.1176,-3.944843411,1.754108998,0.471590616
Empid&DolichopodidFlies,Platypalpus clarandus,39,1976,2014,113,-0.2526,-2.694132676,3.052686115,0.471802274
Caddisflies,Polycentropus kingi,44,1970,2013,373,-3.2925,-6.173551841,-0.391293284,0.472324373
Hoverflies,Lejogaster tarsata,43,1970,2012,164,-2.0271,-4.853486678,0.708878393,0.472403848
Carabids,Ophonus ardosiacus,42,1971,2012,76,0.5864,-2.131687674,3.697901443,0.47282164
Lichens,Pertusaria flavicans,45,1971,2015,97,-0.3214,-3.369554935,2.576549108,0.473145571
PlantBugs,Atractotomus magnicornis,39,1977,2015,108,-0.9597,-3.434139364,2.240570666,0.473988683
Spiders,Trochosa spinipalpis,43,1970,2012,102,-3.7288,-6.681269435,-1.11551677,0.474480057
Wasps,Elampus panzeri,46,1970,2015,249,-0.8275,-3.991566298,1.714690625,0.474755685
Weevils,Phloeotribus rhododactylus,44,1972,2015,118,1.4532,-1.32465202,4.395567203,0.474936638
NonmarineMolluscs,Euconulus alderi,42,1974,2015,210,-0.8682,-3.670804794,2.09159883,0.474941051
Hoverflies,Parasyrphus lineola,42,1972,2013,198,-4.2514,-6.97043069,-1.388209044,0.475436566
Bryophytes,Mastigophora woodsii,43,1972,2014,81,0.7473,-1.555426495,4.214466793,0.476354964
Lichens,Parmelina pastillifera,41,1975,2015,106,1.8949,-0.655421036,5.114011543,0.476578086
FungusGnats,Mycomya trilineata,38,1974,2011,57,0.1414,-2.654988088,4.059546727,0.476627315
Weevils,Otiorhynchus desertus,44,1972,2015,80,-1.2897,-4.136786593,1.733188231,0.476773361
Wasps,Podalonia hirsuta,39,1977,2015,258,0.596,-2.19124497,3.619687569,0.476833459
Carabids,Bembidion gilvipes,43,1972,2014,221,0.4695,-2.170678389,3.515608173,0.47689928
Orthoptera,Metrioptera roeselii,45,1971,2015,3442,4.0318,1.557235291,7.094417909,0.47734236
Craneflies,Nephrotoma scurra,44,1972,2015,116,2.2615,-0.303463488,5.365879615,0.477416241
Bryophytes,Anthelia julacea,45,1971,2015,152,0.8554,-1.680197475,4.293850857,0.47757293
Lichens,Roccella phycopsis,43,1971,2013,80,1.008,-1.885530951,3.873438592,0.477632501
NonmarineMolluscs,Aplexa hypnorum,44,1970,2013,149,-0.8253,-3.657504928,1.986208421,0.478147265
Spiders,Araneus sturmi,44,1970,2013,212,1.2955,-1.37678277,4.443533614,0.47851716
Bryophytes,Bartramia halleriana,46,1970,2015,54,-1.9318,-4.708881043,0.901764303,0.479118966
Bryophytes,Didymodon umbrosus,42,1973,2014,109,-0.3638,-2.965884862,2.478571778,0.479599059
Spiders,Tapinocyba insecta,43,1970,2012,105,-3.9573,-6.898978626,-1.145912427,0.479704024
PlantBugs,Amblytylus nasutus,40,1976,2015,466,0.3889,-1.756963363,4.109435249,0.479862961
Caddisflies,Plectrocnemia geniculata,43,1972,2014,355,0.8998,-2.004179682,3.808022997,0.480176683
PlantBugs,Orius laticollis,37,1979,2015,51,0.4642,-2.411856974,3.697343567,0.480533038
NonmarineMolluscs,Radix auricularia,46,1970,2015,90,-4.6161,-7.825906264,-2.191800244,0.480630417
Spiders,Walckenaeria atrotibialis,42,1970,2011,464,-2.4136,-5.183926672,0.356049569,0.481273037
Spiders,Pelecopsis parallela,43,1971,2013,457,-0.7605,-3.763074024,2.025929037,0.481652181
Lichens,Rhizocarpon lecanorinum,41,1975,2015,70,1.2747,-0.915170549,4.697019059,0.481946064
Moths,Mythimna unipuncta,46,1970,2015,4622,1.7288,-0.911746403,4.879232533,0.482115446
Lichens,Umbilicaria torrefacta,45,1970,2014,91,-0.7826,-3.674797796,1.841568152,0.482377734
PlantBugs,Atractotomus parvulus,36,1980,2015,54,-0.8698,-3.729045998,1.958296176,0.482557613
Leaf&SeedBeetles,Longitarsus pratensis,41,1975,2015,374,-1.2148,-4.112118681,1.511180629,0.482763079
Spiders,Allomengea vidua,42,1970,2011,216,-4.5001,-7.177457277,-1.805983756,0.482816643
AquaticBugs,Gerris gibbifer,42,1970,2011,256,-1.3905,-4.199156476,1.620748363,0.482911422
Spiders,Tetragnatha nigrita,43,1971,2013,224,3.4187,0.87469255,6.274776831,0.483395582
PlantBugs,Acompocoris pygmaeus,45,1971,2015,142,-2.7586,-5.446348705,-0.073563355,0.483440941
Ladybirds,Nephus redtenbacheri,43,1973,2015,85,-2.8942,-5.675297258,-0.028501043,0.48363345
Lichens,Leptogium plicatile,44,1971,2014,156,2.0293,-0.451854832,4.97766208,0.483745697
Moths,Synanthedon andrenaeformis,42,1974,2015,360,2.4604,-0.149759655,5.457865985,0.48412341
Bryophytes,Pohlia elongata,45,1971,2015,128,-0.6718,-3.173755894,2.303253647,0.484667492
Weevils,Gymnetron veronicae,46,1970,2015,87,-2.3685,-5.261269517,0.325045445,0.485218227
Bryophytes,Fontinalis squamosa,45,1971,2015,305,1.7172,-0.777379101,4.720437576,0.485273482
Hoverflies,Criorhina asilica,44,1970,2013,305,-2.1045,-4.986950627,0.503259266,0.485471558
Centipedes,Geophilus easoni,35,1981,2015,189,2.5368,0.087485083,5.604678204,0.486147019
Bryophytes,Marchesinia mackaii,46,1970,2015,188,0.2363,-2.442058104,2.89778019,0.486156245
Caddisflies,Rhyacophila obliterata,43,1972,2014,293,-2.2085,-5.114550583,0.610377223,0.487096011
Lichens,Stereocaulon condensatum,33,1983,2015,52,1.2867,-0.562405516,5.04135213,0.487177822
Weevils,Cyanapion spencii,39,1977,2015,111,0.9051,-1.96455548,3.598125243,0.487392816
Lichens,Parmelina tiliacea,45,1970,2014,69,-3.1315,-6.096931952,-0.539452629,0.487824961
Moths,Endromis versicolora,43,1973,2015,228,-1.8467,-4.285419025,1.439224201,0.489193896
Leaf&SeedBeetles,Clytra quadripunctata,44,1972,2015,71,-1.6745,-4.599336681,1.043225504,0.489272693
Lichens,Cladonia scabriuscula,43,1973,2015,124,1.9368,-0.720816377,5.196181384,0.489304023
Caddisflies,Ceraclea fulva,43,1971,2013,110,-0.2824,-2.990760486,2.861260227,0.489650839
Bryophytes,Marsupella sprucei,45,1971,2015,90,-0.5311,-3.115041756,2.581814435,0.490334459
Weevils,Neocoenorrhinus aequatus,45,1971,2015,80,-3.2674,-5.903841503,-0.561511171,0.491059938
PlantBugs,Berytinus signoreti,37,1979,2015,86,-0.4078,-3.452416315,2.461645718,0.491285562
Weevils,Kalcapion pallipes,46,1970,2015,77,-1.6125,-4.568834505,1.090974049,0.4913355
Bryophytes,Microbryum floerkeanum,41,1974,2014,89,-1.3077,-4.635160199,1.263525665,0.491527805
PlantBugs,Kalama tricornis,36,1980,2015,97,2.5349,-0.108964577,5.679798869,0.4915668
Bryophytes,Ulota drummondii,45,1970,2014,93,-0.2243,-2.879126416,2.942298058,0.492019077
Lichens,Icmadophila ericetorum,45,1971,2015,124,0.5747,-2.174317278,3.634459984,0.492162468
FungusGnats,Monoclona rufilatera,38,1974,2011,100,1.3783,-0.341431383,4.736863136,0.492295347
Wasps,Auplopus carbonarius,46,1970,2015,269,0.1482,-2.529596851,3.012645785,0.49252436
Lichens,Leptogium schraderi,45,1970,2014,151,0.1179,-2.643862485,3.128872145,0.492558135
Bryophytes,Grimmia orbicularis,44,1971,2014,81,-0.2895,-3.014327231,2.455543751,0.492786339
Moths,Macaria brunneata,45,1971,2015,506,-0.4936,-3.153497087,2.360951069,0.492974429
Bryophytes,Sphagnum imbricatum s.l.,45,1971,2015,106,-0.0736,-2.893606103,2.938588473,0.49302698
Carabids,Calathus erratus,44,1971,2014,174,-0.6586,-3.312195115,2.220617263,0.493458769
Lichens,Bactrospora corticola,40,1975,2014,58,2.011,-0.441444983,5.138810204,0.493486596
Lichens,Leptogium turgidum,42,1974,2015,143,1.5176,-0.518018716,4.311656374,0.493649342
Lichens,Tomasellia gelatinosa,45,1970,2014,181,-3.9708,-7.095008331,-1.197367326,0.494158077
PlantBugs,Megalonotus praetextatus,33,1983,2015,79,2.1028,-0.430273035,4.9146376,0.494196195
Weevils,Pityogenes bidentatus,46,1970,2015,97,-2.7106,-5.384911884,0.185309034,0.494241069
Bees,Melitta tricincta,46,1970,2015,414,2.0328,-0.375160437,5.104245196,0.494567339
Craneflies,Dicranomyia mitis,44,1972,2015,57,1.75,-0.713882887,4.750562697,0.494929172
Leaf&SeedBeetles,Hydrothassa glabra,43,1970,2012,66,-2.6761,-5.709142278,-0.180120219,0.49533336
Empid&DolichopodidFlies,Empis pennipes,44,1971,2014,118,-0.8559,-3.851792186,1.617191489,0.495819047
Bees,Ceratina cyanea,43,1973,2015,306,-1.6538,-4.678379398,1.151515542,0.49598263
Weevils,Ceutorhynchus sulcicollis,44,1972,2015,59,-1.7968,-4.736662528,0.919871641,0.49602461
AquaticBugs,Sigara semistriata,40,1971,2010,151,2.7075,-0.00039933,5.559301306,0.496257368
NonmarineMolluscs,Abida secale,45,1971,2015,75,-1.8157,-4.712555433,0.951353395,0.496551271
Craneflies,Molophilus pusillus,46,1970,2015,54,-0.037,-2.7899599,2.870310509,0.496607447
Bryophytes,Bryum algovicum,45,1971,2015,142,-0.6015,-3.348835808,2.292446071,0.497141076
Weevils,Hylurgops palliatus,45,1971,2015,170,-0.9616,-3.774064898,1.917426572,0.497749797
Weevils,Gymnetron villosulum,46,1970,2015,102,-1.3121,-4.233268686,1.251867304,0.497762057
Lichens,Bacidia incompta,45,1970,2014,66,-1.7597,-4.443714774,1.123850568,0.497862077
Lichens,Collema cristatum var. cristatum,43,1972,2014,75,-0.8544,-3.515693465,2.080614313,0.498018584
Leaf&SeedBeetles,Bruchus loti,45,1971,2015,410,-1.6313,-4.416658231,1.113256397,0.49822362
Wasps,Podalonia affinis,42,1973,2014,128,-2.328,-5.089975322,0.358586303,0.498253897
Hoverflies,Chrysotoxum elegans,44,1971,2014,235,2.1119,-0.657077726,4.884601171,0.498404397
NonmarineMolluscs,Phenacolimax major,45,1971,2015,68,-2.1489,-5.14118542,0.113519871,0.499631033
Weevils,Cleonis pigra,43,1973,2015,64,-0.2685,-2.935196885,2.610703867,0.499886332
Bryophytes,Radula aquilegia,45,1971,2015,112,1.4132,-1.002110033,4.510049913,0.500526242
Lichens,Lichina confinis,46,1970,2015,86,-1.2904,-4.795263949,0.812885396,0.500574683
Lichens,Leprocaulon microscopicum,46,1970,2015,116,-1.9276,-4.713512308,0.901634407,0.500785517
Lichens,Hypocenomyce caradocensis,45,1970,2014,75,-3.1531,-6.280705806,-0.255803058,0.500820833
Craneflies,Achyrolimonia decemmaculata,46,1970,2015,87,-0.5537,-3.318251533,2.279998395,0.501283364
Carabids,Pterostichus nigrita,42,1973,2014,563,4.3832,2.087607152,7.731261369,0.501492034
Lichens,Protoblastenia calva,45,1970,2014,114,0.8589,-2.047349516,3.641733715,0.501871312
Lacewings,Nineta flava,45,1970,2014,231,-1.0176,-3.980699012,1.501210343,0.502445639
Spiders,Walckenaeria dysderoides,44,1970,2013,108,-2.824,-5.570278407,-0.180677735,0.502545734
Weevils,Ceutorhynchus turbatus,42,1974,2015,94,1.0349,-1.514087539,3.966113895,0.502545992
Empid&DolichopodidFlies,Empis albinervis,41,1974,2014,342,1.7242,-0.553423466,4.92694632,0.502913942
Weevils,Anthonomus brunnipennis,46,1970,2015,187,-1.5707,-4.185239781,1.275791486,0.503034315
Lichens,Bryoria subcana,45,1970,2014,106,-2.1974,-5.143310006,0.391331632,0.503057573
Soldierflies,Thereva bipunctata,44,1972,2015,65,-1.0066,-3.936409037,1.634050395,0.503509287
Craneflies,Tipula subcunctans,44,1971,2014,54,-0.6398,-3.332881591,2.226488811,0.50356895
Lichens,Protoparmelia ochrococca,41,1975,2015,93,0.8474,-1.784492758,4.086760859,0.503615042
Lichens,Fuscidea lygaea,45,1971,2015,140,1.6067,-0.988696319,4.735234171,0.503853561
